medication_identifier,medication_name,short_name,medication_pronunciation,medication_color_group,medication_components,primary_medication_category,medication_categories
m-indocyanine-green,Indocyanine Green,Indocyanine Green,indocyanine green,Miscellaneous White Label,,INDOCYANINE_GREEN,INDOCYANINE_GREEN | INTRAVENOUS
g-insulin,Insulin,Insulin,,,,INSULIN,NOT_ON_MED_LIST | INSULIN | ANTIHYPERGLYCEMIC
m-insulin-regular,Insulin Regular,Insulin Regular,insulin regular,Miscellaneous White Label,,INSULIN_REGULAR,INSULIN_REGULAR | INTRAVENOUS | ANTIHYPERGLYCEMIC | INSULIN
m-ipratropium-bromide,Ipratropium Bromide,Ipratropium Bromide,ipratropium bromide,Miscellaneous White Label,,IPRATROPIUM_BROMIDE,IPRATROPIUM_BROMIDE
m-ketamine-iv,Ketamine IV/Oral,Ketamine,ketamine,Induction Agents,,KETAMINE,KETAMINE | INTRAVENOUS | INDUCTION_AGENT | NOT_ON_MED_LIST
m-ketamine-im,Ketamine IM,Ketamine,ketamine ,Induction Agents,,KETAMINE,KETAMINE | INDUCTION_AGENT | NOT_ON_MED_LIST
m-ketamine-iv-im,Ketamine IV/IM,Ketamine,ketamine,Induction Agents,,KETAMINE,KETAMINE | INTRAVENOUS | INDUCTION_AGENT
m-ketamine-oral,Ketamine Oral,Ketamine,ketamine,Induction Agents,,KETAMINE,KETAMINE | INDUCTION_AGENT
m-ketorolac,Ketorolac,Ketorolac,ketorolac,Miscellaneous White Label,,KETOROLAC,INTRAVENOUS | KETOROLAC | NSAID
m-labetalol-iv,Labetalol IV,Labetalol,labetalol ,Hypotensive Agents,,LABETALOL,LABETALOL | INTRAVENOUS | ANTIHYPERTENSIVE
m-labetalol-oral,Labetalol Oral,Labetalol,labetalol ,Hypotensive Agents,,LABETALOL,LABETALOL
m-lactated-ringers,Lactated Ringers,Lactated Ringers,lactated ringers,Miscellaneous White Label,,LACTATED_RINGERS,LACTATED_RINGERS | INTRAVENOUS | NOT_ON_MED_LIST | FLUID
m-levetiracetam-keppra-oral,Levetiracetam (Keppra) Oral,Levetiracetam (Keppra),leveh turassetum,Miscellaneous White Label,,LEVETIRACETAM,LEVETIRACETAM
m-levetiracetam-keppra-iv,Levetiracetam (Keppra) IV,Levetiracetam (Keppra),leveh turassetum,Miscellaneous White Label,,LEVETIRACETAM,LEVETIRACETAM | INTRAVENOUS
m-levofloxacin-iv,LevoFLOXacin IV,LevoFLOXacin,levofloxacin ,Miscellaneous White Label,,LEVOFLOXACIN,LEVOFLOXACIN | ANTIBIOTIC | INTRAVENOUS | QTC_PROLONGING | FLUOROQUINOLONE
m-levofloxacin-oral,LevoFLOXacin Oral,LevoFLOXacin,levofloxacin ,Miscellaneous White Label,,LEVOFLOXACIN,LEVOFLOXACIN | ANTIBIOTIC | QTC_PROLONGING | FLUOROQUINOLONE
m-lidocaine,Lidocaine,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | INTRAVENOUS | LOCAL_ANESTHETIC
g-lidocaine,Lidocaine,Lidocaine,,,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-lidocaine-pf-0.5,Lidocaine (PF) 0.5%,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC | INTRAVENOUS
m-lidocaine-pf-0.8,Lidocaine (PF) 0.8%,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC
m-lidocaine-pf-1.5,Lidocaine (PF) 1.5%,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC
m-lidocaine-pf-1,Lidocaine (PF) 1%,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC | INTRAVENOUS
m-lidocaine-pf-2,Lidocaine (PF) 2%,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC
m-lidocaine-pf-2-iv,Lidocaine (PF) 2% IV,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-lidocaine-topical,Lidocaine Topical,Lidocaine,lidocaine,Local Anesthetics,,LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC
g-lidocaine-ceftriaxone,Lidocaine-Ceftriaxone,Lidocaine-Ceftriaxone,,,g-lidocaine | m-ceftriaxone,LIDOCAINE_CEFTRIAXONE,LIDOCAINE | INTRAVENOUS | CEFTRIAXONE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
g-lidocaine-epinephrine,Lidocaine-EPINEPHrine,Lidocaine-EPINEPHrine,,,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | LOCAL_ANESTHETIC | EPINEPHRINE | NOT_ON_MED_LIST
m-lidocaine-epinephrine-0.5-20,"Lidocaine-EPINEPHrine 0.5:200,000",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC
m-lidocaine-epinephrine-1-10,"Lidocaine-EPINEPHrine 1:100,000",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC
m-lidocaine-epinephrine-1-20,"Lidocaine-EPINEPHrine 1:200,000",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC
m-lidocaine-epinephrine-pf-1-20,"Lidocaine-EPINEPHrine 1:200,000 (PF)",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC
m-lidocaine-epinephrine-pf-1.5-20,"Lidocaine-EPINEPHrine 1.5:200,000 (PF)",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC
m-lidocaine-epinephrine-2-10,"Lidocaine-EPINEPHrine 2:100,000",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-lidocaine-epinephrine-pf-2-20,"Lidocaine-EPINEPHrine 2:200,000 (PF)",Lidocaine-EPINEPHrine,lidocaine epinephrine,Local Anesthetics,,LIDOCAINE_EPINEPHRINE,LIDOCAINE_EPINEPHRINE | LIDOCAINE | EPINEPHRINE | LOCAL_ANESTHETIC
m-linezolid-iv,Linezolid IV,Linezolid,lynn ehzole id ,Miscellaneous White Label,,LINEZOLID,LINEZOLID | INTRAVENOUS
m-linezolid-oral,Linezolid Oral,Linezolid,lynn ehzole id ,Miscellaneous White Label,,LINEZOLID,LINEZOLID
g-lixisenatide,Lixisentide,Lixisentide,,,,LIXISENTIDE,NOT_ON_MED_LIST | ANTIHYPERGLYCEMIC
m-lorazepam-iv,LORazepam IV,LORazepam,lorazepam ,Tranquilizers,,LORAZEPAM,LORAZEPAM | INTRAVENOUS
m-lorazepam-oral,LORazepam Oral,LORazepam,lorazepam ,Tranquilizers,,LORAZEPAM,LORAZEPAM
m-magnesium-sulfate,Magnesium Sulfate,Magnesium Sulfate,magnesium sulfate,Miscellaneous White Label,,MAGNESIUM_SULFATE,MAGNESIUM_SULFATE | INTRAVENOUS
m-mannitol,Mannitol,Mannitol,mannitol,Miscellaneous White Label,,MANNITOL,MANNITOL | INTRAVENOUS| NOT_ON_MED_LIST | FLUID
m-meperidine,Meperidine,Meperidine,meperidine,Narcotics,,MEPERIDINE,MEPERIDINE | NARCOTIC | INTRAVENOUS
g-mepivacaine,Mepivacaine,Mepivacaine,,,,MEPIVACAINE,MEPIVACAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-mepivacaine-1.5,Mepivacaine 1.5%,Mepivacaine,mepiv a cane,Local Anesthetics,,MEPIVACAINE,MEPIVACAINE | LOCAL_ANESTHETIC
m-mepivacaine-1,Mepivacaine 1%,Mepivacaine,mepiv a cane,Local Anesthetics,,MEPIVACAINE,MEPIVACAINE | LOCAL_ANESTHETIC
m-mepivacaine-2,Mepivacaine 2%,Mepivacaine,mepiv a cane,Local Anesthetics,,MEPIVACAINE,MEPIVACAINE | LOCAL_ANESTHETIC
g-mepivacaine-epinephrine,Mepivacaine-EPINEPHrine,Mepivacaine-EPINEPHrine,,,,MEPIVACAINE_EPINEPHRINE,MEPIVACAINE_EPINEPHRINE | EPINEPHRINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-meropenem,Meropenem,Meropenem,meropenem,Miscellaneous White Label,,MEROPENEM,MEROPENEM | ANTIBIOTIC | CARBAPENEM | INTRAVENOUS
m-methadone-iv,Methadone IV,Methadone,methadone ,Narcotics,,METHADONE,METHADONE | NARCOTIC | INTRAVENOUS | QTC_PROLONGING
m-methadone-oral,Methadone Oral,Methadone,methadone ,Narcotics,,METHADONE,METHADONE | NARCOTIC | QTC_PROLONGING
m-methohexital,Methohexital,Methohexital,methohexital,Induction Agents,,METHOHEXITAL,METHOHEXITAL | INTRAVENOUS
m-methylene-blue,Methylene Blue,Methylene Blue,methylene blue,Miscellaneous White Label,,METHYLENE_BLUE,METHYLENE_BLUE | INTRAVENOUS
m-methylergonovine-iv,Methylergonovine IV,Methylergonovine,methylergonovine ,Miscellaneous White Label,,METHYLERGONOVINE,METHYLERGONOVINE | INTRAVENOUS
m-methylergonovine-oral,Methylergonovine Oral,Methylergonovine,methylergonovine ,Miscellaneous White Label,,METHYLERGONOVINE,METHYLERGONOVINE
m-methylprednisolone-iv,MethylPREDNIsolone IV,MethylPREDNIsolone,methylprednisolone ,Miscellaneous White Label,,METHYLPREDNISOLONE,METHYLPREDNISOLONE | INTRAVENOUS | ANTIEMETIC | ANTIEMETIC_STEROID
m-methylprednisolone-oral,MethylPREDNIsolone Oral,MethylPREDNIsolone,methylprednisolone ,Miscellaneous White Label,,METHYLPREDNISOLONE,METHYLPREDNISOLONE
m-methylprednisone-spinal-cord-loading-dose,Methylprednisone Spinal Cord Loading Dose,Methylprednisone,methylprednisone,Miscellaneous White Label,,METHYLPREDNISOLONE,METHYLPREDNISOLONE | NOT_ON_MED_LIST
m-metoclopramide-iv,Metoclopramide IV,Metoclopramide,metoclopramide ,Miscellaneous White Label,,METOCLOPRAMIDE,METOCLOPRAMIDE | INTRAVENOUS | ANTIEMETIC | ANTIEMETIC_ANTIDOPAMINERGIC
m-metoclopramide-oral,Metoclopramide Oral,Metoclopramide,metoclopramide ,Miscellaneous White Label,,METOCLOPRAMIDE,METOCLOPRAMIDE | ANTIEMETIC | ANTIEMETIC_ANTIDOPAMINERGIC
m-metoprolol-iv,METOprolol IV,METOprolol,metoprolol ,Beta Blocker,,METOPROLOL,METOPROLOL | INTRAVENOUS
m-metoprolol-oral,METOprolol Oral,METOprolol,metoprolol ,Beta Blocker,,METOPROLOL,METOPROLOL
m-metronidazole-iv,MetroNIDAZOLE IV,MetroNIDAZOLE,metronidazole ,Miscellaneous White Label,,METRONIDAZOLE,METRONIDAZOLE | INTRAVENOUS | ANTIBIOTIC | PREOP_DEFAULT_DOSE_IV
m-metronidazole-oral,MetroNIDAZOLE Oral,MetroNIDAZOLE,metronidazole ,Miscellaneous White Label,,METRONIDAZOLE,METRONIDAZOLE  | ANTIBIOTIC | PREOP_DEFAULT_DOSE_NON_IV
m-micafungin,Micafungin,Micafungin,micafungin,Miscellaneous White Label,,MICAFUNGIN,MICAFUNGIN | INTRAVENOUS
m-midazolam,Midazolam,Midazolam,medazolamb,Tranquilizers,,MIDAZOLAM,MIDAZOLAM | INTRAVENOUS
m-midazolam-syrup,Midazolam Syrup,Midazolam,medazolamb,Tranquilizers,,MIDAZOLAM,MIDAZOLAM
m-milrinone,Milrinone,Milrinone,milrinone,Vasopressors,,MILRINONE,MILRINONE | INTRAVENOUS
m-morphine-iv,MorPHINE IV,MorPHINE,morphine ,Narcotics,,MORPHINE,MORPHINE | NARCOTIC | INTRAVENOUS
m-morphine-pf-iv,MorPHINE IV (PF),MorPHINE,morphine ,Narcotics,,MORPHINE,MORPHINE | NARCOTIC | INTRAVENOUS
m-morphine-oral,MorPHINE Oral,MorPHINE,morphine ,Narcotics,,MORPHINE,MORPHINE | NARCOTIC
m-nafcillin,Nafcillin,Nafcillin,nafcillin,Miscellaneous White Label,,NAFCILLIN,NAFCILLIN | INTRAVENOUS | PENICILLIN | ANTIBIOTIC
m-nalbuphine,Nalbuphine,Nalbuphine,nalbuefeene,Narcotics,,NALBUPHINE,NALBUPHINE | INTRAVENOUS
m-naloxone-iv,Naloxone,Naloxone,naloxone ,Narcotic Antagonists,,NALOXONE,NALOXONE | INTRAVENOUS
m-naloxone-nasal-spray,Naloxone Nasal Spray,Naloxone,naloxone ,Narcotic Antagonists,,NALOXONE,NALOXONE
m-neostigmine,Neostigmine,Neostigmine,neostigmine,Relaxant Antagonists,,NEOSTIGMINE,NEOSTIGMINE | INTRAVENOUS | NMB_REVERSAL
m-nicardipine-iv,NiCARdipine IV,NiCARdipine,nihcardipine ,Hypotensive Agents,,NICARDIPINE,NICARDIPINE | INTRAVENOUS | ANTIHYPERTENSIVE
m-nicardipine-oral,NiCARdipine Oral,NiCARdipine,nihcardipine ,Hypotensive Agents,,NICARDIPINE,NICARDIPINE | ANTIHYPERTENSIVE
m-nimodipine,NiMODipine,NiMODipine,nimodipine,Hypotensive Agents,,NIMODIPINE,NIMODIPINE
m-nitroglycerin-iv,Nitroglycerin IV,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN | INTRAVENOUS | ANTIHYPERTENSIVE
m-nitroglycerin-ointment,Nitroglycerin Ointment,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroglycerin-oral,Nitroglycerin Oral,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroglycerin-spray,Nitroglycerin Spray,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroglycerin-sublingual,Nitroglycerin Sublingual,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroglycerin-transdermal-0.1,Nitroglycerin Transdermal 0.1 mg/hr,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroglycerin-transdermal-0.2,Nitroglycerin Transdermal 0.2 mg/hr,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroglycerin-transdermal-0.4,Nitroglycerin Transdermal 0.4 mg/hr,Nitroglycerin,nitroglycerin ,Hypotensive Agents,,NITROGLYCERIN,NITROGLYCERIN
m-nitroprusside,Nitroprusside,Nitroprusside,nitroprusside,Hypotensive Agents,,NITROPRUSSIDE,NITROPRUSSIDE | INTRAVENOUS | ANTIHYPERTENSIVE
m-norepinephrine,NOREPINephrine,NOREPINephrine,norepinephrine,Vasopressors,,NOREPINEPHRINE,NOREPINEPHRINE | INTRAVENOUS | VASOPRESSOR
m-octreotide,Octreotide,Octreotide,octreotide,Miscellaneous White Label,,OCTREOTIDE,OCTREOTIDE | INTRAVENOUS
m-omeprazole,Omeprazole,Omeprazole,omeprazole,Miscellaneous White Label,,OMEPRAZOLE,OMEPRAZOLE | NOT_ON_MED_LIST
m-ondansetron-iv,Ondansetron IV,Ondansetron,ondansetron ,Miscellaneous White Label,,ONDANSETRON,ONDANSETRON | INTRAVENOUS | ANTIEMETIC | ANTIEMETIC_5HT3_ANTAGONIST | QTC_PROLONGING
m-ondansetron-oral,Ondansetron Oral,Ondansetron,ondansetron ,Miscellaneous White Label,,ONDANSETRON,ONDANSETRON | ANTIEMETIC | ANTIEMETIC_5HT3_ANTAGONIST | QTC_PROLONGING
m-oxacillin,Oxacillin,Oxacillin,oxacillin,Miscellaneous White Label,,OXACILLIN,OXACILLIN | ANTIBIOTIC | PENICILLIN | INTRAVENOUS
g-oxycodone,Oxycodone,Oxycodone,,,,OXYCODONE,OXYCODONE | NARCOTIC | NOT_ON_MED_LIST
m-oxycodone-oral,OxyCODONE Oral,OxyCODONE,oxycodone ,Narcotics,,OXYCODONE,OXYCODONE | NARCOTIC
g-oxycodone-acetaminophen,Oxycodone Acetaminophen,OxyCODONE-Acetaminophen,,,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE_ACETAMINOPHEN | OXYCODONE | NARCOTIC | ACETAMINOPHEN | NOT_ON_MED_LIST
m-oxycodone-acetaminophen-10-300,OxyCODONE-Acetaminophen 10 - 300 mg Tablet,OxyCODONE-Acetaminophen,oxycodone-acetaminophen,Narcotics,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE | ACETAMINOPHEN | NARCOTIC
m-oxycodone-acetaminophen-10-325,OxyCODONE-Acetaminophen 10 - 325 mg Tablet,OxyCODONE-Acetaminophen,oxycodone-acetaminophen,Narcotics,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE | ACETAMINOPHEN | NARCOTIC
m-oxycodone-acetaminophen-5-300,OxyCODONE-Acetaminophen 5 - 300 mg Tablet,OxyCODONE-Acetaminophen,oxycodone-acetaminophen,Narcotics,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE | ACETAMINOPHEN | NARCOTIC
m-oxycodone-acetaminophen-5-325,OxyCODONE-Acetaminophen 5 - 325 mg Tablet,OxyCODONE-Acetaminophen,oxycodone-acetaminophen,Narcotics,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE | ACETAMINOPHEN | NARCOTIC
m-oxycodone-acetaminophen-7.5-325,OxyCODONE-Acetaminophen 7.5 - 325 mg Tablet,OxyCODONE-Acetaminophen,oxycodone-acetaminophen,Narcotics,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE | ACETAMINOPHEN | NARCOTIC
m-oxycodone-acetaminophen-2.5-325,OxyCODONE-Acetaminophen 2.5 - 325 mg Tablet,OxyCODONE-Acetaminophen,oxycodone-acetaminophen,Narcotics,g-oxycodone | g-acetaminophen,OXYCODONE_ACETAMINOPHEN,OXYCODONE | ACETAMINOPHEN | NARCOTIC
m-oxytocin,Oxytocin,Oxytocin,oxytocin,Miscellaneous White Label,,OXYTOCIN,OXYTOCIN | INTRAVENOUS
m-pantoprazole-iv,Pantoprazole IV,Pantoprazole,pantoprazole ,Miscellaneous White Label,,PANTOPRAZOLE,PANTOPRAZOLE | INTRAVENOUS
m-pantoprazole-oral,Pantoprazole Oral,Pantoprazole,pantoprazole ,Miscellaneous White Label,,PANTOPRAZOLE,PANTOPRAZOLE
m-penicillin-g-potassium,Penicillin G Potassium,Penicillin G,penicillin g,Miscellaneous White Label,,PENICILLIN,PENICILLIN | ANTIBIOTIC | INTRAVENOUS
m-penicillin-g-sodium,Penicillin G Sodium,Penicillin G,penicillin g,Miscellaneous White Label,,PENICILLIN,PENICILLIN | ANTIBIOTIC | INTRAVENOUS
m-phenobarbital-iv,PHENobarbital IV,PHENobarbital,phenobarbital ,Induction Agents,,PHENOBARBITAL,PHENOBARBITAL | INTRAVENOUS
m-phenobarbital-oral,PHENobarbital Oral,PHENobarbital,phenobarbital ,Induction Agents,,PHENOBARBITAL,PHENOBARBITAL
m-phentolamine,Phentolamine,Phentolamine,phentolamine,Hypotensive Agents,,PHENTOLAMINE,PHENTOLAMINE | INTRAVENOUS
m-phenylephrine,Phenylephrine,Phenylephrine,phenylephrine,Vasopressors,,PHENYLEPHRINE,PHENYLEPHRINE | INTRAVENOUS | VASOPRESSOR
m-physostigmine,Physostigmine,Physostigmine,physostigmine,Relaxant Antagonists,,PHYSOSTIGMINE,PHYSOSTIGMINE | INTRAVENOUS
m-phytonadione-vit-k-iv,Phytonadione (Vit K) IV,Phytonadione (Vit K),phytonadione,Miscellaneous White Label,,PHYTONADIONE,PHYTONADIONE | INTRAVENOUS
m-phytonadione-vit-k-oral,Phytonadione (Vit K) Oral,Phytonadione (Vit K),phytonadione,Miscellaneous White Label,,PHYTONADIONE,PHYTONADIONE
g-piperacillin-tazobactam,Piperacillin-Tazobactam,Piperacillin-Tazobactam,piperacillin-tazobactam,Miscellaneous White Label,,PIPERACILLIN_TAZOBACTAM,PIPERACILLIN_TAZOBACTAM | PENICILLIN | ANTIBIOTIC | INTRAVENOUS | NOT_ON_MED_LIST
m-piperacillin-tazobactam,Piperacillin-Tazobactam,Piperacillin-Tazobactam,piperacillin-tazobactam,Miscellaneous White Label,,PIPERACILLIN_TAZOBACTAM,PIPERACILLIN_TAZOBACTAM | PENICILLIN | ANTIBIOTIC | INTRAVENOUS | NOT_ON_MED_LIST
m-piperacillin-tazobactam-2.25,Piperacillin-Tazobactam 2.25 g Vial,Piperacillin-Tazobactam,piperacillin-tazobactam,Miscellaneous White Label,,PIPERACILLIN_TAZOBACTAM,PIPERACILLIN_TAZOBACTAM | PENICILLIN | ANTIBIOTIC | INTRAVENOUS
m-piperacillin-tazobactam-3.375,Piperacillin-Tazobactam 3.375 g Vial,Piperacillin-Tazobactam,piperacillin-tazobactam,Miscellaneous White Label,,PIPERACILLIN_TAZOBACTAM,PIPERACILLIN_TAZOBACTAM | PENICILLIN | ANTIBIOTIC | INTRAVENOUS
m-piperacillin-tazobactam-4.5,Piperacillin-Tazobactam 4.5 g Vial,Piperacillin-Tazobactam,piperacillin-tazobactam,Miscellaneous White Label,,PIPERACILLIN_TAZOBACTAM,PIPERACILLIN_TAZOBACTAM | PENICILLIN | ANTIBIOTIC | INTRAVENOUS
m-pregabalin,Pregabalin,Pregabalin,pree gabalin,Miscellaneous White Label,,PREGABALIN,PREGABALIN
m-procainamide,Procainamide,Procainamide,procainamide,Miscellaneous White Label,,PROCAINAMIDE,PROCAINAMIDE | INTRAVENOUS | NOT_ON_MED_LIST | QTC_PROLONGING
m-procainamide-iv,Procainamide IV,Procainamide,procainamide,Miscellaneous White Label,,PROCAINAMIDE,PROCAINAMIDE | INTRAVENOUS | QTC_PROLONGING
m-procainamide-im,Procainamide IM,Procainamide,procainamide,Miscellaneous White Label,,PROCAINAMIDE,PROCAINAMIDE | QTC_PROLONGING
m-prochlorperazine-iv,Prochlorperazine IV,Prochlorperazine,prochlorperazine ,Miscellaneous White Label,,PROCHLORPERAZINE,PROCHLORPERAZINE | INTRAVENOUS
m-prochlorperazine-oral,Prochlorperazine Oral,Prochlorperazine,prochlorperazine ,Miscellaneous White Label,,PROCHLORPERAZINE,PROCHLORPERAZINE
m-promethazine-oral,PROMETHazine Oral,PROMETHazine,promethazine ,Miscellaneous White Label,,PROMETHAZINE,PROMETHAZINE
m-propofol,Propofol,Propofol,propofol,Induction Agents,,PROPOFOL,PROPOFOL | INTRAVENOUS | INDUCTION_AGENT
m-propranolol,Propranolol,Propranolol,propranolol,Hypotensive Agents,,PROPRANOLOL,PROPRANOLOL | INTRAVENOUS
m-protamine,Protamine,Protamine,protamine,Protamine,,PROTAMINE,PROTAMINE | INTRAVENOUS
m-pyridostigmine-iv,Pyridostigmine IV,Pyridostigmine,pye rid ohstigmine ,Relaxant Antagonists,,PYRIDOSTIGMINE,PYRIDOSTIGMINE | INTRAVENOUS
m-pyridostigmine-oral,Pyridostigmine Oral,Pyridostigmine,pye rid ohstigmine ,Relaxant Antagonists,,PYRIDOSTIGMINE,PYRIDOSTIGMINE
m-remifentanil,Remifentanil,Remifentanil,remi fentanyl,Narcotics,,REMIFENTANIL,REMIFENTANIL | NARCOTIC | INTRAVENOUS
m-rifampin-iv,Rifampin IV,Rifampin,rifampin ,Miscellaneous White Label,,RIFAMPIN,RIFAMPIN | INTRAVENOUS
m-rifampin-oral,Rifampin Oral,Rifampin,rifampin ,Miscellaneous White Label,,RIFAMPIN,RIFAMPIN
m-rocuronium,Rocuronium,Rocuronium,rocuronium,Muscle Relaxants,,ROCURONIUM,ROCURONIUM | NONDEP_NMB | INTRAVENOUS
g-ropivacaine,Ropivacaine,Ropivacaine,,,,ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-ropivacaine-0.2,Ropivacaine 0.2%,Ropivacaine,ropivacaine,Local Anesthetics,,ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC
m-ropivacaine-0.5,Ropivacaine 0.5%,Ropivacaine,ropivacaine,Local Anesthetics,,ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC
m-ropivacaine-1,Ropivacaine 1%,Ropivacaine,ropivacaine,Local Anesthetics,,ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC
g-ropivacaine-epinephrine,Ropivacaine-EPINEPHrine,Ropivacaine-EPINEPHrine,,,,ROPIVACAINE_EPINEPHRINE,ROPIVACAINE_EPINEPHRINE | ROPIVACAINE | EPINEPHRINE | LOCAL_ANESTHETIC| NOT_ON_MED_LIST
m-scopolamine,Scopolamine,Scopolamine,scopolamine,Anticholinergic Agents,,SCOPOLAMINE,SCOPOLAMINE | ANTIEMETIC | ANTIEMETIC_ANTICHOLINERGIC
m-secretin,Secretin,Secretin,secretin,Miscellaneous White Label,,SECRETIN,SECRETIN | INTRAVENOUS
g-semaglutide,Semaglutide,Semaglutide,,,,SEMAGLUTIDE,NOT_ON_MED_LIST | ANTIHYPERGLYCEMIC
m-sodium-bicarbonate,Sodium Bicarbonate,Sodium Bicarbonate,sodium bicarbonate,Miscellaneous White Label,,SODIUM_BICARBONATE,SODIUM_BICARBONATE | INTRAVENOUS
m-sodium-chloride-saline,Sodium Chloride (Saline),Sodium Chloride (Saline),Saline,Miscellaneous White Label,,SODIUM_CHLORIDE,SODIUM_CHLORIDE | INTRAVENOUS | NOT_ON_MED_LIST | FLUID
m-sodium-chloride-saline-nebulization,Sodium Chloride (Saline) Nebulization,Sodium Chloride (Saline),saline,Miscellaneous White Label,,SODIUM_CHLORIDE,SODIUM_CHLORIDE
m-sodium-citrate,Sodium Citrate,Sodium Citrate,sodium citrate,Miscellaneous White Label,,SODIUM_CITRATE,SODIUM_CITRATE
m-succinylcholine,Succinylcholine,Succinylcholine,succinylcholine,Succinylcholine,,SUCCINYLCHOLINE,SUCCINYLCHOLINE | INTRAVENOUS
m-sufentanil,SUFentanil,SUFentanil,sufentanil,Narcotics,,SUFENTANIL,SUFENTANIL | NARCOTIC | INTRAVENOUS
m-sugammadex,Sugammadex,Sugammadex,sugammadex,Relaxant Antagonists,,SUGAMMADEX,SUGAMMADEX | INTRAVENOUS | NMB_REVERSAL
m-sulfamethoxazole-trimethoprim-iv,Sulfamethoxazole-Trimethoprim IV,Sulfamethoxazole-Trimethoprim,sulfamethoxazole-trimethoprim ,Miscellaneous White Label,,SULFAMETHOXAZOLE_TRIMETHOPRIM,SULFAMETHOXAZOLE_TRIMETHOPRIM | INTRAVENOUS | PREOP_DEFAULT_DOSE_IV
